-0.1	0.9	20000	0.013078049	0.008804878	25	13.65853659	0.218414634	1.340912927	0.969669512	7.2	0.584146341	-0.012	15	11.54463415	150	12	0.727585366	0.037894439	1.164390244	50	0.031317073	2000	4943.902439	0.000338171	0.385365854
-0.1	0.9	20000	0.001414286	0.005714286	25	14.28571429	0.227857143	1.645857143	0.201017857	7.2	0.627142857	-0.012	15	7.026285714	150	12	0.768571429	0.019921643	0.428857143	50	0.091428571	2000	3757.142857	0.000421857	0.625714286
-0.1	0.9	20000	0.001492857	0.0075	25	12.5	0.238571429	2.534642857	0.262885714	7.2	0.712785714	-0.012	15	3.228678571	150	12	0.498928571	0.015380571	5.154428571	50	0.0905	2000	4842.857143	0.000285714	0.635714286
-0.1	0.9	20000	0.001465	0.009	25	12.5	0.248	0.92715	0.5821	7.2	0.687	-0.012	15	2.27478	150	12	0.5359	0.00193185	2.36	50	0.0772	2000	3770	0.0004218	0.81
-0.1	0.9	20000	0.081442105	0.0125	25	13.68421053	0.229868421	2.866205263	1.066906842	7.2	0.641578947	-0.012	15	4.3885	150.1315789	12	0.668868421	0.011488276	4.1915	50	0.055486842	2000	5373.157895	0.000174395	0.555263158
-0.1	0.9	20000	0.0014	0.01	25	14	0.249	5.0656	1.74788	7.2	0.73	-0.012	15	1.32082	150	12	0.5	0.005933	0.32	50	0.0462	2000	4000	0.00146	0.66
-0.1	0.9	20000	0.001255263	0.008421053	25	13.68421053	0.211842105	7.971263158	0.9945	7.2	0.693684211	-0.012	15	6.000315789	151.0526316	12	0.661052632	0.010772105	6.744736842	50	0.013421053	2000	10352.63158	0.000194895	0.715789474
-0.1	0.9	20000	0.001377778	0.005666667	25	13.33333333	0.231666667	2.263555556	0.406311111	7.2	0.717777778	-0.012	15	4.748666667	451.1111111	12	0.601333333	0.013067778	1.035555556	50	0.037911111	2000	22722.22222	0.000201778	0.722222222
-0.1	0.9	20000	0.001071875	0.0065625	25	13.90625	0.2515625	0.4975	1.941329844	7.2	0.65515625	-0.012	15	3.271546875	150	12	0.72496875	0.007668906	0.1529375	50	0.096615625	2000	3034.375	0.000540172	0.584375
-0.1	0.9	20000	0.001431429	0.007857143	25	12.85714286	0.226428571	1.346857143	0.086984286	7.2	0.671428571	-0.012	15	2.852042857	150	12	0.391428571	0.003477429	0.242857143	50	0.023	2000	4642.857143	0.000290971	0.771428571
-0.1	0.9	20000	0.0015	0.019	25	14.28571429	0.207142857	0.241428571	0.474571429	7.2	0.621428571	-0.012	15	5.138571429	150	12	0.660714286	0.005232857	1.514285714	50	0.01	2000	8057.142857	0.000268571	0.492857143
