6.4715	0.2489	0.01	11.4715	0.12445	0.01
6.5175	0.2486	0.01	11.5175	0.1243	0.01
6.4957	0.2482	0.01	11.4957	0.1241	0.01
6.4169	0.2482	0.01	11.4169	0.1241	0.01
6.2859	0.2477	0.01	11.2859	0.12385	0.01
6.2284	0.2476	0.01	11.2284	0.1238	0.01
6.1678	0.2476	0.01	11.1678	0.1238	0.01
6.1865	0.2477	0.01	11.1865	0.12385	0.01
6.2756	0.2471	0.01	11.2756	0.12355	0.01
6.3282	0.2467	0.01	11.3282	0.12335	0.01
6.2819	0.2469	0.01	11.2819	0.12345	0.01
6.1684	0.2474	0.01	11.1684	0.1237	0.01
6.0855	0.248	0.01	11.0855	0.124	0.01
6.0105	0.2478	0.01	11.0105	0.1239	0.01
5.9131	0.2473	0.01	10.9131	0.12365	0.01
5.9094	0.2475	0.01	10.9094	0.12375	0.01
6.0318	0.2483	0.01	11.0318	0.12415	0.01
6.2127	0.2488	0.01	11.2127	0.1244	0.01
6.3252	0.2489	0.01	11.3252	0.12445	0.01
6.3794	0.2488	0.01	11.3794	0.1244	0.01
6.4136	0.2489	0.01	11.4136	0.12445	0.01
6.433	0.2486	0.01	11.433	0.1243	0.01
6.4073	0.2484	0.01	11.4073	0.1242	0.01
6.3919	0.2479	0.01	11.3919	0.12395	0.01
6.3318	0.2475	0.01	11.3318	0.12375	0.01
6.2939	0.2471	0.01	11.2939	0.12355	0.01
6.352	0.2469	0.01	11.352	0.12345	0.01
6.4019	0.2472	0.01	11.4019	0.1236	0.01
6.4763	0.2472	0.01	11.4763	0.1236	0.01
6.4669	0.2471	0.01	11.4669	0.12355	0.01
6.4575	0.247	0.01	11.4575	0.1235	0.01
6.3626	0.2471	0.01	11.3626	0.12355	0.01
6.2651	0.2475	0.01	11.2651	0.12375	0.01
6.112	0.2479	0.01	11.112	0.12395	0.01
6.0451	0.2479	0.01	11.0451	0.12395	0.01
6.1138	0.2474	0.01	11.1138	0.1237	0.01
6.2647	0.2472	0.01	11.2647	0.1236	0.01
6.2899	0.247	0.01	11.2899	0.1235	0.01
6.2848	0.2469	0.01	11.2848	0.12345	0.01
6.285	0.2468	0.01	11.285	0.1234	0.01
6.3285	0.2463	0.01	11.3285	0.12315	0.01
6.3921	0.246	0.01	11.3921	0.123	0.01
6.5028	0.2458	0.01	11.5028	0.1229	0.01
6.6484	0.2459	0.01	11.6484	0.12295	0.01
6.7493	0.2456	0.01	11.7493	0.1228	0.01
6.7843	0.2454	0.01	11.7843	0.1227	0.01
6.8079	0.2459	0.01	11.8079	0.12295	0.01
6.8447	0.2463	0.01	11.8447	0.12315	0.01
6.8272	0.2462	0.01	11.8272	0.1231	0.01
6.7682	0.246	0.01	11.7682	0.123	0.01
6.7425	0.2459	0.01	11.7425	0.12295	0.01
6.8026	0.2457	0.01	11.8026	0.12285	0.01
6.8565	0.2454	0.01	11.8565	0.1227	0.01
6.9636	0.2452	0.01	11.9636	0.1226	0.01
7.1232	0.2451	0.01	12.1232	0.12255	0.01
7.1996	0.245	0.01	12.1996	0.1225	0.01
7.3042	0.2447	0.01	12.3042	0.12235	0.01
7.4166	0.2445	0.01	12.4166	0.12225	0.01
7.5132	0.2447	0.01	12.5132	0.12235	0.01
7.4497	0.2452	0.01	12.4497	0.1226	0.01
7.3862	0.2457	0.01	12.3862	0.12285	0.01
7.3671	0.2461	0.01	12.3671	0.12305	0.01
7.4155	0.2468	0.01	12.4155	0.1234	0.01
7.5651	0.2476	0.01	12.5651	0.1238	0.01
7.7115	0.2474	0.01	12.7115	0.1237	0.01
7.8138	0.2472	0.01	12.8138	0.1236	0.01
